from_stop_id,to_stop_id,transfer_type,min_transfer_time
3179,3219,0,
3180,3218,0,
3767,3767,2,120
3767,3217,2,120
3767,3258,2,120
3767,8020,2,120
3767,10860,2,120
3767,8033,2,120
3181,3181,0,
3181,3217,0,
3181,8020,0,
3181,10860,0,
3181,8033,0,
3184,3184,0,
3317,3317,0,
8696,8696,0,
8696,3261,0,
3331,3315,0,
3333,3333,0,
3333,3314,0,
3333,3954,0,
3198,3784,0,
3198,3975,0,
3202,3202,0,
3202,9224,0,
3202,3909,0,
3203,3781,0,
3203,3802,0,
3769,3394,2,120
3769,3334,2,120
3769,3533,2,120
3769,3769,2,120
3769,3204,2,120
3769,3053,2,120
3769,3927,2,120
3769,3904,2,120
3769,3195,2,120
3769,3906,2,120
3769,3067,2,120
3769,8021,2,120
3769,8998,2,120
3769,7643,2,120
3057,11108,0,
3057,3057,0,
3058,3062,0,
3058,3058,0,
3779,3385,2,120
3779,3816,2,120
3779,3806,2,120
3779,8022,2,120
3779,8999,2,120
3204,3394,2,120
3204,3334,2,120
3204,3533,2,120
3204,3769,2,120
3204,3204,2,120
3204,3053,2,120
3204,3927,2,120
3204,3904,2,120
3204,3195,2,120
3204,3906,2,120
3204,3067,2,120
3204,8021,2,120
3204,8998,2,120
3204,8032,2,120
3204,7643,2,120
4341,4342,0,
4360,4560,2,480
4360,4569,0,
11570,2539,0,
11570,8048,0,
11570,8069,0,
2534,2534,0,
2765,1559,0,
1554,1554,0,
1555,1404,0,
1558,1558,0,
2613,2764,0,
2613,2613,0,
2613,8589,0,
1171,2762,0,
1171,2416,0,
1171,1175,0,
2671,2833,2,120
2671,2717,2,120
2671,2761,2,120
2671,2414,0,
2671,2523,2,120
2671,1173,2,120
2671,2016,2,120
2671,10203,2,120
2671,8049,0,
2539,2539,0,
2539,8048,0,
2539,8069,0,
1743,1743,0,
1743,2760,0,
1745,1794,0,
1550,1550,0,
1550,1793,0,
1550,1563,0,
8673,8673,0,
8673,9505,0,
8673,8743,0,
8673,8674,0,
8673,8751,0,
8673,8760,0,
1885,1866,0,
1885,1885,0,
3207,11308,0,
3781,3781,0,
3784,3784,0,
3214,3214,0,
3215,3215,0,
3216,3182,0,
3217,3181,0,
3217,3217,0,
